Title,Active,Active,MIC,MICcalc,QPlogPo/w,DS5,GBSA5,CODE
4.75,FALSE,0,16,0,2.891,-6.387,-49.491,0
4.76,FALSE,0,8,0,2.685,-6.804,-56.833,0
4.77,FALSE,0,16,0,0.97,-8.164,-64.086,0
4.78,TRUE,1,1,0,2.944,-6.68,-66.358,0
4.79,TRUE,1,1,0,2.477,-6.729,-64.628,0
4.8,FALSE,0,8,0,4.75,-4.117,-62.642,0
4.81,TRUE,1,1,0,4.038,-6.895,-63.426,0
4.82,FALSE,0,2,0,4.265,-6.533,-59.115,0
4.83,FALSE,0,64,0,4.287,-5.97,-43.357,0
4.84,FALSE,0,32,0,3.401,-6.123,-53.604,0
4.85,FALSE,0,64,0,3.803,-6.271,-56.69,0
4.86,FALSE,0,16,0,3.549,-6.26,-56.623,0
4.87,FALSE,0,16,0,3.671,-4.957,-49.597,0
6.1,TRUE,1,1.06,0,4.464,-6.11,-60.908,0
6.11,FALSE,0,2,0,4.724,-6.323,-63.968,0
6.12,FALSE,0,8,0,5.118,-6.176,-58.652,0
6.13,TRUE,1,0.25,0,4.652,-6.235,-65.959,0
6.14,TRUE,1,0.5,0,4.35,-6.441,-60.315,0
6.16,TRUE,1,0.25,0,4.745,-6.85,-57.227,0
6.18,FALSE,0,2,0,4.469,-7.106,-59.295,0
6.19,TRUE,1,0.13,0,4.332,-6.131,-64.805,0
6.19,TRUE,1,0.13,0,4.277,-5.17,-58.613,0
6.2,FALSE,0,16,0,4.643,-4.812,-56.534,0
6.21,TRUE,1,0.02,0,3.697,-7.571,-61.871,0
6.23,TRUE,1,0.03,0,3.116,-6.478,-61.352,0
6.24,FALSE,0,16,0,3.058,-6.395,-62.255,0
6.25,TRUE,1,0.03,0,2.766,-7.477,-64.723,0
6.5,TRUE,1,0.02,0,4.22,-6.741,-67.531,0
6.6,TRUE,1,0.02,0,4.053,-6.542,-55.487,0
6.7,FALSE,0,4,0,3.995,-6.606,-60.153,0
6.8,TRUE,1,0.06,0,4.109,-6.84,-65.63,0
6.9,TRUE,1,0.5,0,4.234,-6.178,-51.774,0
AM8085,TRUE,1,0.016,0,3.89,-6.467,-56.917,0
AM8191,TRUE,1,0.02,0,2.952,-6.277,-63.741,0
AM8192,TRUE,1,0.06,0,2.978,-6.425,-61.092,0
