Title,Active,Active,MIC,MICcalc,QPlogPo/w,DS5,GBSA5,DS7,GBSA7,DS13,DS14,GBSA14,MMGBSA dG Bind,CODE
3.37,TRUE,1,1,0,4.55,-7.081,-68.485,-7.369,-72.979,-9.797,-6.701,-38.754,-63.22,0
3.38,TRUE,1,0.25,0,4.632,-6.915,-72.89,-7.223,-49.479,-10.164,-6.296,-51.349,-69.453,0
3.39,FALSE,0,2,0,3.079,-6.315,-60.782,-7.232,-65.093,-10.397,-6.324,-55.189,-68.797,0
3.39,FALSE,0,2,0,3.089,-6.285,-60.561,-7.183,-61.88,-10.309,-6.269,-49.199,-63.933,0
3.4,TRUE,1,0.25,0,1.937,-7.074,-58.052,-7.161,-59.285,-11.432,-6.972,-49.79,-71.463,0
3.4,FALSE,0,8,0,2.774,-6.752,-62.434,-7.123,-62.466,-10.378,-6.713,-45.206,-59.095,0
3.41,FALSE,0,8,0,2.783,-6.454,-64.431,-6.971,-68.202,-10.324,-6.466,-47.09,-69.414,0
3.42,FALSE,0,4,0,3.835,-7.249,-65.33,-7.68,-65.364,-9.302,-5.432,-27.197,-52.448,0
3.42,FALSE,0,4,0,3.83,-6.498,-63.639,-7.723,-59.176,-8.937,-6.501,-24.619,-32.472,0
3.43,FALSE,0,2,0,3.385,-7.726,-65.216,-7.446,-67.655,-9.271,-5.42,-40.039,-62.006,0
3.44,FALSE,0,8,0,4.165,-7.984,-70.584,-6.887,-48.745,-10.694,-6.773,-31.737,-59.017,0
3.45,TRUE,1,0.5,0,3.393,-6.67,-47.145,-6.881,-49.358,-10.566,-6.34,-42.728,-65.155,0
3.46,TRUE,1,0.25,0,3.761,-7.054,-42.934,-6.885,-39.257,-8.791,-6.701,-41.731,-58.091,0
3.47,TRUE,1,0.25,0,3.355,-6.826,-63.4,-7.142,-64.144,-10.699,-6.595,-49.79,-63.49,0
3.48,TRUE,1,0.13,0,3.678,-7.155,-64.716,-7.416,-66.244,-10.394,-6.789,-47.157,-63.452,0
3.49,TRUE,1,0.063,0,4.825,-7.368,-61.476,-7.77,-62.284,-9.699,-6.913,-39.304,-57.667,0
3.5,TRUE,1,0.063,0,4.889,-7.777,-60.699,-8.059,-62.001,-10.752,-6.696,-41.811,-63.807,0
3.51,TRUE,1,0.5,0,4.7,-7.206,-59.478,-7.631,-63.562,-10.164,-6.549,-44.148,-57.399,0
3.52,TRUE,1,0.25,0,5.069,-7.303,-58.659,-8.995,-61.083,-8.746,-7.41,-42.707,-42.67,0
3.52,TRUE,1,0.25,0,5.064,-7.382,-58.511,-7.626,-60.679,-7.629,-6.643,-40.43,-39.884,0
3.53,FALSE,0,4,0,5.069,-6.968,-67.09,-8.822,-64.292,-10.187,-5.728,-24.981,-54.828,0
3.53,FALSE,0,4,0,5.072,-6.156,-55.971,-6.07,-41.574,-7.715,-6.155,-24.196,-43.346,0
3.54,TRUE,1,0.125,0,4.466,-7.281,-60.865,-7.489,-63.941,-10.499,-6.757,-45.922,-62.442,0
3.55,TRUE,1,1,0,3.813,-7.119,-60.262,-7.337,-60.999,-10.312,-6.519,-44.503,-56.722,0
3.56,TRUE,1,0.5,0,4.589,-7.104,-54.964,-7.877,-54.866,-10.137,-6.587,-41.6,-42.826,0
3.57,TRUE,1,1,0,4.044,-7.818,-55.244,-8.621,-52.248,-9.212,-5.472,-48.716,-61.326,0
3.57,TRUE,1,1,0,4.052,-6.667,-49.199,-7.51,-48.655,-7.733,-6.9,-46.159,-36.931,0
3.58,TRUE,1,0.25,0,3.922,-7.542,-70.323,-8.748,-70.892,-10.898,-7.085,-47.141,-51.131,0
3.58,TRUE,1,0.25,0,3.896,-7.252,-67.841,-7.919,-69.173,-8.397,-6.8,-46.042,-45.275,0
3.59,FALSE,0,8,0,1.75,-7.917,-58.311,-7.952,-59.229,-9.877,-8.288,-49.971,9.555,0
3.6,TRUE,1,0.25,0,2.457,-7.422,-71.51,-7.58,-74.289,-11.578,-7.286,-54.034,-66.456,0
3.6,FALSE,0,16,0,4.109,-7.274,-51.189,-7.221,-46.977,-10.173,-6.975,-41.288,-42.471,0
3.61,FALSE,0,16,0,4.094,-7.271,-59.376,-6.995,-47.883,-10.85,-7.263,-39.05,-61.534,0
3.62,FALSE,0,2,0,4.148,-7.371,-61.421,-7.601,-65.54,-10.948,-6.945,-40.226,-63.444,0
3.7,TRUE,1,0.5,0,2.099,-7.088,-56.894,-7.264,-58.19,-11.386,-7.24,-49.417,-71.704,0
3.8,TRUE,1,0.25,0,2.268,-7.18,-67.706,-7.644,-70.199,-11.367,-7.198,-43.744,-67.842,0
3.9,TRUE,1,1.5,0,2.144,-7.279,-63.037,-7.117,-66.726,-11.332,-6.976,-34.562,-52.389,0
4.35,TRUE,1,0.008,0,4.105,-6.489,-62.948,-6.659,-62.5,-10.385,-6.703,-53.938,-62.516,0
4.36,TRUE,1,0.031,0,3.7,-6.147,-60.025,-6.415,-63.144,-10.449,-6.703,-56.737,-56.599,0
4.37,TRUE,1,0.016,0,3.014,-6.852,-60.919,-6.855,-60.262,-10.932,-6.899,-52.331,-57.297,0
4.38,TRUE,1,0.03,0,4.515,-7.115,-56.393,-7.214,-60.466,-10.782,-7.172,-55.87,-52.611,0
4.39,TRUE,1,0.03,0,4.389,-6.873,-54.113,-6.886,-55.999,-11.12,-7.094,-55.378,-53.781,0
4.4,TRUE,1,0.06,0,3.955,-6.566,-60.782,-6.784,-60.163,-10.709,-6.769,-57.148,-61.898,0
4.41,TRUE,1,0.05,0,2.889,-6.641,-58.872,-6.568,-65.009,-10.426,-6.995,-43.713,-60.677,0
4.42,FALSE,0,4,0,2.234,-6.431,-54.02,-6.736,-60.78,-10.641,-6.82,-48.028,-46.793,0
4.43,TRUE,1,0.25,0,2.342,-6.561,-67.47,-6.544,-64.297,-10.828,-4.823,-37.081,-47.957,0
4.44,TRUE,1,0.125,0,3.852,-6.471,-58.653,-6.584,-54.718,-10.599,-6.442,-42.753,-52.294,0
4.45,TRUE,1,0.031,0,3.041,-5.678,-59.486,-6.307,-61.564,-10.483,-6.203,-54.247,-60.135,0
4.45,TRUE,1,0.031,0,3.059,-5.613,-58.168,-6.047,-59.415,-10.042,-5.887,-53.475,-55.328,0
4.46,TRUE,1,0.5,0,2.401,-6.481,-57.579,-6.665,-59.579,-10.588,-6.56,-54.09,-60.273,0
4.47,TRUE,1,0.25,0,3.499,-6.45,-57.864,-6.573,-57.772,-10.024,-6.51,-57.498,-59.755,0
4.48,TRUE,1,0.5,0,3.828,-6.277,-39.853,-6.783,-58.944,-11.008,-6.718,-58.873,-54.833,0
4.49,TRUE,1,0.063,0,3.265,-6.824,-68.435,-6.903,-64.015,-11.03,-7.098,-53.579,-61.576,0
4.5,FALSE,0,16,0,0.977,-8.02,-60.056,-7.936,-62.633,-9.8,-8.186,-51.727,-41.445,0
4.51,TRUE,1,0.063,0,2.773,-6.94,-60.153,-7.03,-60.388,-10.984,-6.953,-60.213,-60.673,0
4.52,FALSE,0,2,0,2.706,-6.457,-57.553,-6.517,-59.331,-10.705,-6.364,-59.22,-56.821,0
4.53,TRUE,1,0.25,0,4.064,-6.812,-61.553,-7.216,-60.273,-11.626,-7.532,-46.449,-53.413,0
4.54,TRUE,1,0.5,0,3.672,-7.035,-63.937,-7.185,-67.863,-10.538,-6.737,-65.27,-63.381,0
4.55,TRUE,1,1,0,2.765,-7.444,-65.068,-7.459,-62.051,-11.358,-7.216,-52.049,-60.685,0
4.56,TRUE,1,0.5,0,4.053,-6.789,-55.826,-6.859,-57.539,-10.721,-6.773,-57.521,-55.309,0
4.57,TRUE,1,0.031,0,4.053,-6.602,-59.798,-6.789,-57.981,-10.635,-6.67,-58.566,-63.381,0
4.58,TRUE,1,0.016,0,4.248,-7.007,-57.011,-7.189,-58.831,-11.035,-6.999,-56.179,-58.838,0
4.59,TRUE,1,0.063,0,4.693,-6.668,-61.22,-7.022,-59.922,-10.904,-7.42,-52.872,-62.048,0
4.6,TRUE,1,0.016,0,3.887,-6.467,-56.857,-6.796,-61.2,-10.949,-7.01,-54.617,-59.195,0
4.6,FALSE,0,8,0,3.744,-4.581,-37.997,-4.163,-69.106,-9.244,-2.118,-33.818,-58.344,0
4.61,FALSE,0,32,0,4.233,-5.954,-49.693,-3.871,-30.923,-12.661,-6.189,-43.282,-58.935,0
4.62,FALSE,0,8,0,4.934,-5.471,-36.792,-4.448,-57.826,-8.453,-7.558,-25.265,-39.942,0
4.63,TRUE,1,0.125,0,2.656,-7.081,-64.513,-7.042,-65.222,-11.637,-6.877,-59.068,-59.465,0
4.64,FALSE,0,16,0,4.47,-6.285,-45.262,-6.296,-47.108,-10.028,-6.848,-46.278,-45.835,0
4.65,FALSE,0,16,0,3.913,-6.178,-46.461,-7.007,-52.52,-10.752,-6.213,-46.043,-48.355,0
4.66,FALSE,0,8,0,3.986,-6.652,-56.456,-6.73,-58.018,-10.13,-6.197,-48.364,-56.934,0
4.67,TRUE,1,0.25,0,1.9,-6.49,-61.033,-6.799,-61.702,-10.095,-6.63,-50.228,-58.257,0
4.68,TRUE,1,0.5,0,4.183,-5.863,-57.377,-6.425,-63.297,-10.162,-6.703,-51.67,-58.949,0
4.69,FALSE,0,2,0,4.117,-6.559,-52.334,-6.499,-56.692,-10.192,-6.77,-55.553,-44.772,0
4.7,TRUE,1,0.125,0,3.866,-6.436,-53.275,-6.577,-61.214,-10.381,-6.653,-54.638,-59.117,0
4.71,FALSE,0,16,0,2.912,-6.357,-51.078,-6.266,-53.576,-10.629,-6.649,-50.885,-53.544,0
4.72,TRUE,1,0.125,0,4.061,-6.716,-56.416,-6.908,-64.623,-10.807,-6.854,-58.112,-55.102,0
4.73,TRUE,1,0.5,0,3.878,-6.68,-58.507,-6.724,-59.404,-10.636,-6.883,-57.337,-51.305,0
4.74,FALSE,0,4,0,4.258,-5.976,-61.218,-6.158,-62.925,-10.803,-6.449,-58.707,-45.762,0
4.75,FALSE,0,16,0,2.891,-6.387,-49.491,-6.503,-47.45,-10.491,-6.556,-48.033,-60.536,0
4.76,FALSE,0,8,0,2.685,-6.804,-56.833,-6.906,-60.419,-10.267,-6.612,-50.996,-58.215,0
4.77,FALSE,0,16,0,0.97,-8.164,-64.086,-8.221,-61.667,-9.069,-8.389,-55.819,-22.96,0
4.78,TRUE,1,1,0,2.944,-6.68,-66.358,-6.89,-64.478,-10.627,-6.935,-52.19,-62.453,0
4.79,TRUE,1,1,0,2.477,-6.729,-64.628,-6.683,-65.801,-10.901,-6.918,-61.004,-53.839,0
4.8,FALSE,0,8,0,4.75,-4.117,-62.642,-5.915,-37.6,-8.439,-6.613,-4.968,-19.345,0
4.81,TRUE,1,1,0,4.038,-6.895,-63.426,-7.054,-64.909,-10.872,-7.29,-59.878,-45.202,0
4.82,FALSE,0,2,0,4.265,-6.533,-59.115,-6.663,-58.085,-10.371,-6.559,-50.602,-53.71,0
4.83,FALSE,0,64,0,4.287,-5.97,-43.357,-6.183,-46.881,-10.061,-6.282,-42.475,-52.064,0
4.84,FALSE,0,32,0,3.401,-6.123,-53.604,-5.913,-62.394,-9.84,-5.98,-52.768,-56.43,0
4.85,FALSE,0,64,0,3.803,-6.271,-56.69,-6.393,-58.082,-10.06,-6.22,-58.17,-57.328,0
4.86,FALSE,0,16,0,3.549,-6.26,-56.623,-6.381,-58.071,-9.855,-5.933,-49.764,-60.172,0
4.87,FALSE,0,16,0,3.671,-4.957,-49.597,-7.135,-61.899,-7.857,-6.35,-49.825,-35.334,0
6.1,TRUE,1,1.06,0,4.464,-6.11,-60.908,-6.685,-59.615,-10.471,-6.721,-54.747,-45.626,0
6.11,FALSE,0,2,0,4.724,-6.323,-63.968,-5.844,-49.412,-10.479,-6.691,-32.362,-26.115,0
6.12,FALSE,0,8,0,5.118,-6.176,-58.652,-5.864,-56.079,-6.465,-3.679,-40.587,-35.905,0
6.13,TRUE,1,0.25,0,4.652,-6.235,-65.959,-6.647,-65.565,-10.117,-6.737,-51.192,-46.143,0
6.14,TRUE,1,0.5,0,4.35,-6.441,-60.315,-6.516,-52.352,-10.578,-6.869,-48.211,-59.255,0
6.16,TRUE,1,0.25,0,4.745,-6.85,-57.227,-7.01,-64.187,-10.67,-6.677,-34.904,-44.752,0
6.18,FALSE,0,2,0,4.469,-7.106,-59.295,-7.218,-61.844,-9.505,-5.986,-31.633,-39.071,0
6.19,TRUE,1,0.13,0,4.332,-6.131,-64.805,-6.346,-66.255,-10.471,-6.744,-52.682,-63.435,0
6.19,TRUE,1,0.13,0,4.277,-5.17,-58.613,-6.066,-34.621,-7.4,-6.465,-51.567,-50.011,0
6.2,FALSE,0,16,0,4.643,-4.812,-56.534,-4.877,-58.123,-8.868,-6.57,-51.139,-43.113,0
6.21,TRUE,1,0.02,0,3.697,-7.571,-61.871,-7.648,-63.997,-8.791,-7.766,-56.227,-53.296,0
6.23,TRUE,1,0.03,0,3.116,-6.478,-61.352,-6.487,-62.4,-10.611,-6.764,-57.314,-73.018,0
6.24,FALSE,0,16,0,3.058,-6.395,-62.255,-6.316,-62.855,-10.101,-6.218,-52.818,-53.975,0
6.25,TRUE,1,0.03,0,2.766,-7.477,-64.723,-7.342,-64.6,-9.074,-7.577,-57.978,-42.941,0
6.5,TRUE,1,0.02,0,4.22,-6.741,-67.531,-6.951,-65.169,-9.713,-6.889,-48.598,-59.201,0
6.6,TRUE,1,0.02,0,4.053,-6.542,-55.487,-6.708,-57.737,-10.738,-7.008,-52.961,-62.453,0
6.7,FALSE,0,4,0,3.995,-6.606,-60.153,-6.936,-61.036,-10.274,-6.133,-42.295,-53.298,0
6.8,TRUE,1,0.06,0,4.109,-6.84,-65.63,-6.783,-66.386,-10.55,-6.923,-43.371,-49.762,0
6.9,TRUE,1,0.5,0,4.234,-6.178,-51.774,-6.662,-54.806,-10.633,-6.867,-52.462,-58.723,0
AM8085,TRUE,1,0.016,0,3.89,-6.467,-56.917,-6.796,-61.206,-10.931,-7.006,-54.812,-59.194,0
AM8191,TRUE,1,0.02,0,2.952,-6.277,-63.741,-6.549,-63.461,-10.814,-6.678,-59.297,-72.791,0
AM8192,TRUE,1,0.06,0,2.978,-6.425,-61.092,-6.508,-62.644,-10.792,-7.019,-51.663,-60.825,0
